id,county,locality,agency,km
1,Alba,Abrud,Alba Iulia,70
2,Alba,Abrud-Sat,Alba Iulia,70
3,Alba,Achimetesti,Alba Iulia,110
4,Alba,Acmariu,Sebes,20
5,Alba,Aiud,Alba Iulia,0
6,Alba,Aiudul de Sus,Alba Iulia,0
7,Alba,Alba Iulia,Alba Iulia,0
8,Alba,Albac,Alba Iulia,100
9,Alba,Alecus,Tarnaveni,55
10,Alba,Almasu de Mijloc,Alba Iulia,60
11,Alba,Almasu Mare,Alba Iulia,60
12,Alba,Ampoita,Alba Iulia,0
13,Alba,Anghelesti,Alba Iulia,62
14,Alba,Arieseni,Alba Iulia,122
15,Alba,Aronesti,Alba Iulia,91
16,Alba,Arti,Sebes,35
17,Alba,Asinip,Alba Iulia,45
18,Alba,Avram Iancu,Alba Iulia,110
19,Alba,Avramesti (Arieseni),Alba Iulia,130
20,Alba,Avramesti (Avram Iancu),Alba Iulia,110
21,Alba,Baba,Alba Iulia,105
22,Alba,Bacainti,Sebes,70
23,Alba,Badai,Alba Iulia,110
24,Alba,Bagau,Alba Iulia,45
25,Alba,Bai,Alba Iulia,97
26,Alba,Baia de Aries,Alba Iulia,100
27,Alba,Balcaciu,Tarnaveni,30
28,Alba,Balesti,Alba Iulia,85
29,Alba,Balesti-Catun,Alba Iulia,85
30,Alba,Balmosesti,Alba Iulia,77
31,Alba,BALOMIRU DE CAMP,Sebes,20
32,Alba,Barabant,Alba Iulia,0
33,Alba,Barasti,Alba Iulia,120
34,Alba,Barbesti,Alba Iulia,62
35,Alba,Bardesti,Alba Iulia,99
36,Alba,Barlesti (Bistra),Alba Iulia,85
37,Alba,Barlesti (Mogos),Alba Iulia,95
38,Alba,Barlesti (Scarisoara),Alba Iulia,110
39,Alba,Barlesti-Catun,Alba Iulia,65
40,Alba,Barsana,Sebes,34
41,Alba,Barzan,Alba Iulia,96
42,Alba,Barzogani,Alba Iulia,85
43,Alba,Bazesti,Alba Iulia,77
44,Alba,Beldiu,Alba Iulia,0
45,Alba,Benic,Alba Iulia,30
46,Alba,Berghin,Alba Iulia,0
47,Alba,Beta,Alba Iulia,50
48,Alba,Bidigesti,Alba Iulia,71
49,Alba,Biharia,Alba Iulia,120
50,Alba,Biia,Tarnaveni,35
51,Alba,Bilanesti,Alba Iulia,80
52,Alba,Bisericani,Alba Iulia,73
53,Alba,Bistra,Alba Iulia,85
54,Alba,Blaj,Alba Iulia,0
55,Alba,Blandiana,Sebes,20
56,Alba,Blidesti,Alba Iulia,80
57,Alba,Bobaresti (Sohodol),Alba Iulia,80
58,Alba,Bobaresti (Vidra),Alba Iulia,110
59,Alba,Bocesti,Alba Iulia,64
60,Alba,Bocsitura,Sebes,44
61,Alba,Bodesti,Alba Iulia,90
62,Alba,Bodresti,Alba Iulia,108
63,Alba,Bogdanesti (Mogos),Alba Iulia,95
64,Alba,Bogdanesti (Vidra),Alba Iulia,110
65,Alba,Boglesti,Alba Iulia,69
66,Alba,Boldesti,Alba Iulia,102
67,Alba,Bolovanesti,Sebes,37
68,Alba,Boncesti,Alba Iulia,90
69,Alba,Bordestii Poieni,Alba Iulia,95
70,Alba,Borlesti,Alba Iulia,87
71,Alba,Botani,Alba Iulia,44
72,Alba,Botesti (Campeni),Alba Iulia,80
73,Alba,Botesti (Scarisoara),Alba Iulia,110
74,Alba,Botesti (Zlatna),Alba Iulia,40
75,Alba,Boz,Sebes,30
76,Alba,Bradeana,Alba Iulia,90
77,Alba,Bradesti,Alba Iulia,60
78,Alba,Bradet,Alba Iulia,54
79,Alba,Brazesti,Alba Iulia,110
80,Alba,Bubesti,Alba Iulia,126
81,Alba,Bucerdea granoasa,Alba Iulia,0
82,Alba,Bucerdea Vinoasa,Alba Iulia,0
83,Alba,Bucium,Alba Iulia,80
84,Alba,Bucium-Sat,Alba Iulia,100
85,Alba,Bucuru,Sebes,42
86,Alba,Budaiesti,Alba Iulia,120
87,Alba,Budeni,Alba Iulia,40
88,Alba,Bulbuc,Sebes,42
89,Alba,Buninginea,Alba Iulia,90
90,Alba,Bunta,Alba Iulia,66
91,Alba,Burzesti,Alba Iulia,100
92,Alba,Burzonesti,Alba Iulia,90
93,Alba,Butesti (Horea),Alba Iulia,110
94,Alba,Butesti (Mogos),Alba Iulia,90
95,Alba,Calene,Sebes,40
96,Alba,Calnic,Sebes,0
97,Alba,Calugaresti,Alba Iulia,110
98,Alba,Campeni,Alba Iulia,80
99,Alba,Campu Goblii,Sebes,13
100,Alba,Candesti,Alba Iulia,110
101,Alba,CAPALNA,Sebes,20
102,Alba,Capalna de Jos,Tarnaveni,30
103,Alba,Captalan,Campia Turzii,50
104,Alba,Capu Dealului,Tarnaveni,64
105,Alba,Capud,Alba Iulia,55
106,Alba,Carasti,Alba Iulia,110
107,Alba,Carpen,Sebes,23
108,Alba,Carpenii de Sus,Sebes,23
109,Alba,Carpinis (Garbova),Sebes,25
110,Alba,Carpinis (Rosia Montana),Alba Iulia,75
111,Alba,Cartulesti,Alba Iulia,108
112,Alba,Casa de Piatra,Alba Iulia,125
113,Alba,Casoaia,Alba Iulia,110
114,Alba,Cenade,Alba Iulia,70
115,Alba,Cerbu,Alba Iulia,80
116,Alba,Cergau,Alba Iulia,60
117,Alba,Cergau Mare,Alba Iulia,60
118,Alba,Cergau Mic,Alba Iulia,60
119,Alba,Certege,Alba Iulia,90
120,Alba,Ceru-Bacainti,Sebes,70
121,Alba,Cetatea de Balta,Tarnaveni,30
122,Alba,Cetea,Alba Iulia,30
123,Alba,Cheia,Alba Iulia,47
124,Alba,Cheile Cibului,Alba Iulia,60
125,Alba,Cheleteni,Alba Iulia,93
126,Alba,Cib,Alba Iulia,60
127,Alba,Cicard,Alba Iulia,52
128,Alba,Cicau,Alba Iulia,40
129,Alba,Cioara de Sus,Alba Iulia,100
130,Alba,Ciocasu,Sebes,17
131,Alba,Cionesti,Alba Iulia,98
132,Alba,Cistei,Alba Iulia,0
133,Alba,Cisteiu de Mures,Campia Turzii,40
134,Alba,Ciuculesti,Alba Iulia,70
135,Alba,Ciugud,Alba Iulia,0
136,Alba,Ciugudu de Jos,Campia Turzii,60
137,Alba,Ciugudu de Sus,Campia Turzii,60
138,Alba,Ciuguzel,Alba Iulia,55
139,Alba,Ciuldesti,Alba Iulia,90
140,Alba,Ciumbrud,Alba Iulia,0
141,Alba,Ciuruleasa,Alba Iulia,75
142,Alba,Coasta Hentii,Alba Iulia,75
143,Alba,Coasta Vascului,Alba Iulia,87
144,Alba,Cobles,Alba Iulia,124
145,Alba,Cocesti,Alba Iulia,110
146,Alba,Cocosesti,Alba Iulia,110
147,Alba,Cojocani,Alba Iulia,85
148,Alba,Coleseni,Alba Iulia,80
149,Alba,Colibi,Sebes,31
150,Alba,Coltesti,Alba Iulia,62
151,Alba,Copand,Campia Turzii,0
152,Alba,Corna,Alba Iulia,70
153,Alba,Cornu,Alba Iulia,39
154,Alba,Coroiesti,Alba Iulia,100
155,Alba,Cortesti,Campia Turzii,67
156,Alba,Coslariu,Alba Iulia,0
157,Alba,Coslariu Nou,Alba Iulia,0
158,Alba,Costesti (Albac),Alba Iulia,100
159,Alba,Costesti (Poiana Vadului),Alba Iulia,110
160,Alba,Cotorasti,Alba Iulia,52
161,Alba,Craciunelu de Jos,Alba Iulia,0
162,Alba,Craciunelu de Sus,Tarnaveni,26
163,Alba,Craiva,Alba Iulia,30
164,Alba,Cretesti,Alba Iulia,90
165,Alba,Cricau,Alba Iulia,0
166,Alba,Criseni,Alba Iulia,0
167,Alba,Cristesti,Alba Iulia,60
168,Alba,Cucuta,Sebes,35
169,Alba,Cugir,Sebes,35
170,Alba,Culdesti,Alba Iulia,100
171,Alba,Cunta,Sebes,20
172,Alba,Curaturi,Alba Iulia,60
173,Alba,Curmatura,Alba Iulia,100
174,Alba,Curpeni,Sebes,36
175,Alba,Cut,Sebes,0
176,Alba,Daia Romana,Sebes,15
177,Alba,Dambureni,Alba Iulia,85
178,Alba,Dandut,Alba Iulia,79
179,Alba,Darlesti,Alba Iulia,111
180,Alba,Daroaia,Alba Iulia,100
181,Alba,Deal,Sebes,23
182,Alba,Dealu Bajului,Alba Iulia,119
183,Alba,Dealu Bistrii,Alba Iulia,85
184,Alba,Dealu Capsei,Alba Iulia,85
185,Alba,Dealu Caselor,Alba Iulia,80
186,Alba,Dealu Crisului,Alba Iulia,105
187,Alba,Dealu Dostatului,Sebes,28
188,Alba,Dealu Ferului,Sebes,14
189,Alba,Dealu Frumos (Garda de Sus),Alba Iulia,120
190,Alba,Dealu Frumos (Vadu Motilor),Alba Iulia,100
191,Alba,Dealu Geoagiului,Alba Iulia,40
192,Alba,Dealu Goiesti,Alba Iulia,100
193,Alba,Dealu Lamasoi,Alba Iulia,106
194,Alba,Dealu Muntelui,Alba Iulia,85
195,Alba,Dealu Ordancusii,Alba Iulia,125
196,Alba,Dealu Roatei,Alba Iulia,40
197,Alba,Decea,Alba Iulia,45
198,Alba,Deleni-Obarsie,Sebes,48
199,Alba,Deoncesti,Alba Iulia,80
200,Alba,Deve,Alba Iulia,120
201,Alba,Dilimani,Alba Iulia,80
202,Alba,Dobra,Sebes,35
203,Alba,Dobresti,Alba Iulia,113
204,Alba,Dobrot,Alba Iulia,52
205,Alba,Dogaresti,Alba Iulia,80
206,Alba,Dolesti,Alba Iulia,110
207,Alba,Doptau,Tarnaveni,40
208,Alba,Dos,Alba Iulia,100
209,Alba,Dostat,Sebes,35
210,Alba,Dosu Luncii,Alba Iulia,100
211,Alba,Dosu Vasesti,Alba Iulia,100
212,Alba,Dragoiesti-Lunca,Alba Iulia,100
213,Alba,Drambar,Alba Iulia,0
214,Alba,Drasov,Sebes,23
215,Alba,Dric,Alba Iulia,86
216,Alba,Duduieni,Alba Iulia,110
217,Alba,Dumacesti,Alba Iulia,110
218,Alba,Dumbrava (Ciugud),Alba Iulia,0
219,Alba,Dumbrava (Sasciori),Sebes,15
220,Alba,Dumbrava (Unirea),Campia Turzii,25
221,Alba,Dumbrava (Zlatna),Alba Iulia,40
222,Alba,Dumbravita,Sebes,37
223,Alba,Dumesti,Campia Turzii,62
224,Alba,Dumitra,Alba Iulia,0
225,Alba,Dupa Deal (Lupsa),Alba Iulia,110
226,Alba,Dupa Deal (Ponor),Alba Iulia,74
227,Alba,Dupa Plese,Alba Iulia,120
228,Alba,Durasti,Alba Iulia,90
229,Alba,Faget,Alba Iulia,62
230,Alba,Fagetu de Jos,Alba Iulia,110
231,Alba,Fagetu de Sus,Alba Iulia,110
232,Alba,Fantanele,Sebes,40
233,Alba,Farau,Campia Turzii,45
234,Alba,Fata,Alba Iulia,70
235,Alba,Fata Abrudului,Alba Iulia,70
236,Alba,Fata Cristesei,Alba Iulia,122
237,Alba,Fata Lapusului,Alba Iulia,123
238,Alba,Fata Pietrii,Alba Iulia,37
239,Alba,Fata-Lazesti,Alba Iulia,110
240,Alba,Feisa,Tarnaveni,30
241,Alba,Fenes,Alba Iulia,0
242,Alba,Feresti,Alba Iulia,70
243,Alba,Fericet,Alba Iulia,109
244,Alba,Feteni,Sebes,39
245,Alba,Ficaresti,Alba Iulia,100
246,Alba,Flitesti,Sebes,48
247,Alba,Floresti (Bucium),Alba Iulia,100
248,Alba,Floresti (Campeni),Alba Iulia,80
249,Alba,Floresti (Ramet),Alba Iulia,60
250,Alba,Floresti (Scarisoara),Alba Iulia,110
251,Alba,Furduiesti (Campeni),Alba Iulia,80
252,Alba,Furduiesti (Sohodol),Alba Iulia,80
253,Alba,Gabud,Campia Turzii,51
254,Alba,Galati,Alba Iulia,40
255,Alba,Galbena,Alba Iulia,130
256,Alba,Galda de Jos,Alba Iulia,0
257,Alba,Galda de Sus,Alba Iulia,35
258,Alba,Galtiu,Alba Iulia,0
259,Alba,GAMBAS,Alba Iulia,40
260,Alba,Ganesti,Alba Iulia,90
261,Alba,Garbova,Sebes,25
262,Alba,Garbova de Jos,Alba Iulia,0
263,Alba,Garbova de Sus,Sebes,25
264,Alba,Garbovita,Alba Iulia,35
265,Alba,Garda de Sus,Alba Iulia,120
266,Alba,Garda Seaca,Alba Iulia,120
267,Alba,Garda-Barbulesti,Alba Iulia,120
268,Alba,Garde,Alba Iulia,85
269,Alba,Geamana,Alba Iulia,110
270,Alba,Geoagiu de Sus,Alba Iulia,35
271,Alba,Geogel,Alba Iulia,60
272,Alba,Geomal,Alba Iulia,30
273,Alba,Ghedulesti,Alba Iulia,75
274,Alba,Ghetari,Alba Iulia,110
275,Alba,Ghioncani,Alba Iulia,55
276,Alba,Ghirbom,Alba Iulia,0
277,Alba,Giurgiut,Alba Iulia,109
278,Alba,Gligoresti,Alba Iulia,103
279,Alba,Glod,Alba Iulia,52
280,Alba,Glogovet,Alba Iulia,60
281,Alba,Goasele,Sebes,48
282,Alba,Goiesti,Alba Iulia,100
283,Alba,Gojeiesti,Alba Iulia,110
284,Alba,Gorgan,Alba Iulia,54
285,Alba,Grosi,Sebes,39
286,Alba,Gura Ariesului,Campia Turzii,40
287,Alba,Gura Cornei,Alba Iulia,80
288,Alba,Gura Cutului,Sebes,18
289,Alba,Gura Izbitei,Alba Iulia,67
290,Alba,Gura Rosiei,Alba Iulia,75
291,Alba,Gura Sohodol,Alba Iulia,80
292,Alba,Hadarau,Alba Iulia,110
293,Alba,Haiducesti,Alba Iulia,96
294,Alba,Hanasesti (Garda de Sus),Alba Iulia,120
295,Alba,Hanasesti (Poiana Vadului),Alba Iulia,110
296,Alba,Hanes Mina,Alba Iulia,70
297,Alba,Hapria,Alba Iulia,0
298,Alba,Harasti,Alba Iulia,97
299,Alba,Hategana,Sebes,16
300,Alba,Heleresti,Alba Iulia,102
301,Alba,Helesti,Alba Iulia,71
302,Alba,Henig,Alba Iulia,0
303,Alba,Heria,Campia Turzii,45
304,Alba,Hoanca (Sohodol),Alba Iulia,80
305,Alba,Hoanca (Vidra),Alba Iulia,100
306,Alba,Hodisesti,Alba Iulia,90
307,Alba,Hodobana,Alba Iulia,130
308,Alba,Holobani,Alba Iulia,84
309,Alba,Hoparta,Alba Iulia,55
310,Alba,Horea,Alba Iulia,110
311,Alba,Hudricesti,Alba Iulia,85
312,Alba,Huzaresti,Alba Iulia,100
313,Alba,Iacobesti,Alba Iulia,80
314,Alba,Ibru,Sebes,26
315,Alba,Iclod,Alba Iulia,60
316,Alba,Ighiel,Alba Iulia,0
317,Alba,Ighiu,Alba Iulia,0
318,Alba,Ignatesti,Alba Iulia,80
319,Alba,Iliesti,Alba Iulia,46
320,Alba,Incesti (Avram Iancu),Alba Iulia,110
321,Alba,Incesti (Posaga),Campia Turzii,0
322,Alba,Inoc,Campia Turzii,40
323,Alba,Intregalde,Alba Iulia,55
324,Alba,Inuri,Sebes,19
325,Alba,Isca,Alba Iulia,23
326,Alba,Ivanis,Alba Iulia,65
327,Alba,Izbicioara,Alba Iulia,80
328,Alba,Izbita,Alba Iulia,80
329,Alba,Izlaz,Alba Iulia,123
330,Alba,Izvoarele (Blaj),Alba Iulia,45
331,Alba,Izvoarele (Garda de Sus),Alba Iulia,120
332,Alba,Izvoarele (Livezile),Alba Iulia,50
333,Alba,Izvoru Ampoiului,Alba Iulia,50
334,Alba,Jeflesti,Alba Iulia,98
335,Alba,Jidostina,Sebes,44
336,Alba,Jidvei,Tarnaveni,25
337,Alba,Jojei,Alba Iulia,110
338,Alba,Joldisesti,Alba Iulia,96
339,Alba,Jurcuiesti,Alba Iulia,73
340,Alba,Lancram,Sebes,0
341,Alba,Laz (Sasciori),Sebes,20
342,Alba,Laz (Vintu de Jos),Sebes,20
343,Alba,Lazesti (Scarisoara),Alba Iulia,110
344,Alba,Lazesti (Vadu Motilor),Alba Iulia,100
345,Alba,Lazuri (Lupsa),Alba Iulia,110
346,Alba,Lazuri (Sohodol),Alba Iulia,80
347,Alba,Lehesti,Alba Iulia,80
348,Alba,Leorint,Alba Iulia,50
349,Alba,Lespezea,Alba Iulia,110
350,Alba,Lipaia,Alba Iulia,85
351,Alba,Livezile,Alba Iulia,50
352,Alba,Lodroman,Alba Iulia,68
353,Alba,Loman,Sebes,30
354,Alba,Lopadea Noua,Alba Iulia,40
355,Alba,Lopadea Veche,Alba Iulia,40
356,Alba,Luminesti,Alba Iulia,80
357,Alba,Lunca (Lupsa),Alba Iulia,110
358,Alba,Lunca (Posaga),Campia Turzii,70
359,Alba,Lunca (Valea Lunga),Alba Iulia,55
360,Alba,Lunca (Vidra),Alba Iulia,100
361,Alba,Lunca Ampoitei,Alba Iulia,0
362,Alba,Lunca Bisericii,Alba Iulia,100
363,Alba,Lunca de Jos,Alba Iulia,100
364,Alba,Lunca Goiesti,Alba Iulia,100
365,Alba,Lunca Larga (Bistra),Alba Iulia,65
366,Alba,Lunca Larga (Ocolis),Campia Turzii,50
367,Alba,Lunca Merilor,Alba Iulia,85
368,Alba,Lunca Metesului,Alba Iulia,0
369,Alba,Lunca Muresului,Campia Turzii,20
370,Alba,Lunca Tarnavei,Tarnaveni,55
371,Alba,Lunca Vesesti,Alba Iulia,100
372,Alba,Lupaiesti,Alba Iulia,110
373,Alba,Lupsa,Alba Iulia,110
374,Alba,Lupseni,Alba Iulia,34
375,Alba,Lupu,Alba Iulia,55
376,Alba,Lupulesti,Alba Iulia,80
377,Alba,Macaresti,Alba Iulia,60
378,Alba,Maghierat,Sebes,27
379,Alba,Magina,Alba Iulia,40
380,Alba,Magura (Bucium),Alba Iulia,80
381,Alba,Magura (Galda de Jos),Alba Iulia,25
382,Alba,Mahaceni,Campia Turzii,30
383,Alba,Mamaligani,Alba Iulia,85
384,Alba,Manarade,Alba Iulia,55
385,Alba,Manastire,Alba Iulia,80
386,Alba,Mancesti,Alba Iulia,107
387,Alba,Margaia,Alba Iulia,95
388,Alba,Margineni,Sebes,27
389,Alba,Marinesti,Alba Iulia,45
390,Alba,Martesti,Alba Iulia,110
391,Alba,Martinie,Sebes,40
392,Alba,Matacina,Sebes,18
393,Alba,Matei,Alba Iulia,100
394,Alba,Matisesti (Ciuruleasa),Alba Iulia,75
395,Alba,Matisesti (Horea),Alba Iulia,110
396,Alba,Medresti,Deva,71
397,Alba,Medves,Campia Turzii,35
398,Alba,Mereteu,Sebes,18
399,Alba,Mescreac,Alba Iulia,40
400,Alba,Mesentea,Alba Iulia,0
401,Alba,Metes,Alba Iulia,0
402,Alba,Micesti,Alba Iulia,0
403,Alba,Micoslaca,Campia Turzii,45
404,Alba,Mihaiesti,Alba Iulia,85
405,Alba,Mihalt,Alba Iulia,0
406,Alba,Mihoesti,Alba Iulia,80
407,Alba,Miraslau,Alba Iulia,40
408,Alba,Modolesti (Intregalde),Alba Iulia,55
409,Alba,Modolesti (Vidra),Alba Iulia,100
410,Alba,Mogos,Alba Iulia,95
411,Alba,Moraresti (Ciuruleasa),Alba Iulia,75
412,Alba,Moraresti (Sohodol),Alba Iulia,80
413,Alba,Morcanesti,Alba Iulia,110
414,Alba,Motorasti,Alba Iulia,80
415,Alba,Mugesti,Sebes,25
416,Alba,Muncelu,Alba Iulia,100
417,Alba,Munesti,Alba Iulia,80
418,Alba,Muntari,Alba Iulia,80
419,Alba,Mununa,Alba Iulia,120
420,Alba,Musca,Alba Iulia,100
421,Alba,Nadastia,Alba Iulia,60
422,Alba,Namas,Alba Iulia,85
423,Alba,Napaiesti,Alba Iulia,80
424,Alba,Necrilesti,Alba Iulia,90
425,Alba,Necsesti,Alba Iulia,110
426,Alba,Negesti,Alba Iulia,100
427,Alba,Negresti,Alba Iulia,110
428,Alba,Nelegesti,Alba Iulia,80
429,Alba,Nemesi,Alba Iulia,100
430,Alba,Nicoresti,Alba Iulia,80
431,Alba,Niculesti,Alba Iulia,100
432,Alba,Noslac,Campia Turzii,40
433,Alba,Novacesti,Alba Iulia,85
434,Alba,Oarda,Alba Iulia,0
435,Alba,Obreja,Alba Iulia,30
436,Alba,Ocna Mures,Campia Turzii,30
437,Alba,Ocnisoara,Alba Iulia,49
438,Alba,Ocoale,Alba Iulia,120
439,Alba,Ocolis,Campia Turzii,45
440,Alba,Odverem,Alba Iulia,50
441,Alba,Ohaba,Sebes,40
442,Alba,Oidesti,Alba Iulia,93
443,Alba,Oiejdea,Alba Iulia,0
444,Alba,Olteni,Alba Iulia,60
445,Alba,Oncesti,Alba Iulia,85
446,Alba,Orasti,Campia Turzii,64
447,Alba,Orgesti,Alba Iulia,110
448,Alba,Ormenis,Alba Iulia,45
449,Alba,Paclisa,Alba Iulia,0
450,Alba,Padure,Alba Iulia,42
451,Alba,Padurea,Alba Iulia,15
452,Alba,Pagida,Alba Iulia,40
453,Alba,Panade,Alba Iulia,60
454,Alba,Panca,Alba Iulia,40
455,Alba,Pantesti,Alba Iulia,130
456,Alba,Parau Gruiului,Alba Iulia,40
457,Alba,Parau lui Mihai,Sebes,15
458,Alba,Parau-Carbunari,Alba Iulia,93
459,Alba,Pastesti,Alba Iulia,110
460,Alba,Patrahaitesti,Alba Iulia,130
461,Alba,Patrangeni,Alba Iulia,40
462,Alba,Patrusesti,Alba Iulia,110
463,Alba,Patrutesti,Alba Iulia,103
464,Alba,Peles,Alba Iulia,80
465,Alba,Perjesti,Alba Iulia,85
466,Alba,Peste Valea Bistrii,Alba Iulia,85
467,Alba,Petelca,Alba Iulia,30
468,Alba,Petelei,Alba Iulia,110
469,Alba,Petreasa,Alba Iulia,113
470,Alba,Petreni,Bucuresti,69
471,Alba,Petresti,Sebes,0
472,Alba,Petrisat,Alba Iulia,0
473,Alba,Pianu,Sebes,25
474,Alba,Pianu de Jos,Sebes,25
475,Alba,Pianu de Sus,Sebes,23
476,Alba,Pirita,Alba Iulia,40
477,Alba,Pitarcesti,Alba Iulia,100
478,Alba,Pitiga,Alba Iulia,100
479,Alba,Plai (Avram Iancu),Alba Iulia,110
480,Alba,Plai (Garda de Sus),Alba Iulia,120
481,Alba,Plaiuri,Sebes,18
482,Alba,Plescuta,Alba Iulia,100
483,Alba,Plesesti,Alba Iulia,120
484,Alba,Plesi,Sebes,21
485,Alba,Plisti,Alba Iulia,120
486,Alba,Podu lui Paul,Alba Iulia,40
487,Alba,Poduri,Alba Iulia,80
488,Alba,Poduri-Bricesti,Alba Iulia,80
489,Alba,Poiana (Bistra),Alba Iulia,85
490,Alba,Poiana (Bucium),Alba Iulia,80
491,Alba,Poiana (Sohodol),Alba Iulia,80
492,Alba,Poiana Aiudului,Alba Iulia,45
493,Alba,Poiana Ampoiului,Alba Iulia,0
494,Alba,Poiana Galdei,Alba Iulia,30
495,Alba,Poiana Ursului,Sebes,21
496,Alba,Poiana Vadului,Alba Iulia,110
497,Alba,Poieni (Blandiana),Sebes,20
498,Alba,Poieni (Bucium),Alba Iulia,100
499,Alba,Poieni (Vidra),Alba Iulia,100
500,Alba,Poienile-Mogos,Alba Iulia,95
501,Alba,Poienita (Arieseni),Alba Iulia,130
502,Alba,Poienita (Vintu de Jos),Sebes,19
503,Alba,Poiu,Alba Iulia,85
504,Alba,Ponor,Alba Iulia,60
505,Alba,Ponorel,Alba Iulia,100
506,Alba,Popesti,Alba Iulia,120
507,Alba,Popestii de Jos,Alba Iulia,120
508,Alba,Popestii de Sus,Alba Iulia,100
509,Alba,Posaga,Campia Turzii,55
510,Alba,Posaga de Jos,Campia Turzii,55
511,Alba,Posaga de Sus,Campia Turzii,55
512,Alba,Posogani,Alba Iulia,90
513,Alba,Potionci,Alba Iulia,120
514,Alba,Preluca,Alba Iulia,110
515,Alba,Presaca Ampoiului,Alba Iulia,0
516,Alba,Puiuletesti,Alba Iulia,92
517,Alba,Purcareti,Sebes,45
518,Alba,Puselesti,Alba Iulia,110
519,Alba,Racatau,Sebes,30
520,Alba,Rachis,Alba Iulia,47
521,Alba,Rachita,Sebes,15
522,Alba,Radesti,Alba Iulia,45
523,Alba,Rahau,Sebes,0
524,Alba,Raicani,Alba Iulia,36
525,Alba,Ramet,Alba Iulia,60
526,Alba,Ratitis,Alba Iulia,85
527,Alba,Ravicesti,Alba Iulia,119
528,Alba,Razboieni-Cetate,Campia Turzii,40
529,Alba,Reciu,Sebes,0
530,Alba,Remetea,Alba Iulia,65
531,Alba,Rimetea,Alba Iulia,65
532,Alba,Robesti,Alba Iulia,92
533,Alba,Rogoz,Alba Iulia,100
534,Alba,Rosesti,Alba Iulia,120
535,Alba,Rosia de Secas,Sebes,45
536,Alba,Rosia Montana,Alba Iulia,80
537,Alba,Runc (Ocolis),Campia Turzii,50
538,Alba,Runc (Scarisoara),Alba Iulia,110
539,Alba,Runc (Vidra),Alba Iulia,100
540,Alba,Runc (Zlatna),Alba Iulia,40
541,Alba,Runcuri,Alba Iulia,89
542,Alba,Rusesti,Alba Iulia,80
543,Alba,Rusi,Alba Iulia,70
544,Alba,Sagagea,Campia Turzii,60
545,Alba,Salagesti,Alba Iulia,84
546,Alba,Salciua,Campia Turzii,65
547,Alba,Salciua de Jos,Campia Turzii,65
548,Alba,Salciua de Sus,Campia Turzii,65
549,Alba,Salistea,Sebes,40
550,Alba,Salistea-Deal,Sebes,24
551,Alba,Sanbenedic,Campia Turzii,50
552,Alba,Sancel,Alba Iulia,0
553,Alba,Sancrai,Alba Iulia,45
554,Alba,Sanmiclaus,Tarnaveni,45
555,Alba,Santamarie,Tarnaveni,30
556,Alba,Santimbru,Alba Iulia,0
557,Alba,SARACSAU,Sebes,18
558,Alba,Sard,Alba Iulia,0
559,Alba,Sartas,Alba Iulia,110
560,Alba,Sasa,Alba Iulia,94
561,Alba,Sasciori,Sebes,15
562,Alba,Scarisoara,Alba Iulia,110
563,Alba,Scoarta,Alba Iulia,120
564,Alba,Sebes,Sebes,0
565,Alba,Sebesel,Sebes,0
566,Alba,Sebisesti,Alba Iulia,80
567,Alba,SECASEL,Sebes,40
568,Alba,Segaj,Alba Iulia,99
569,Alba,Seusa,Alba Iulia,0
570,Alba,Sfarcea,Alba Iulia,55
571,Alba,Sfoartea,Alba Iulia,122
572,Alba,Sibot,Sebes,35
573,Alba,Sicoiesti,Alba Iulia,80
574,Alba,Silea,Campia Turzii,40
575,Alba,Silivas,Campia Turzii,35
576,Alba,Simocesti,Alba Iulia,90
577,Alba,Simulesti,Alba Iulia,112
578,Alba,Snide,Alba Iulia,85
579,Alba,Soal,Alba Iulia,80
580,Alba,Soharu,Alba Iulia,70
581,Alba,Sohodol,Alba Iulia,80
582,Alba,Sohodol (Albac),Alba Iulia,100
583,Alba,Soicesti,Alba Iulia,110
584,Alba,Soimus,Alba Iulia,39
585,Alba,Sona,Tarnaveni,45
586,Alba,Sorlita,Alba Iulia,80
587,Alba,Spalnaca,Campia Turzii,40
588,Alba,Spatac,Alba Iulia,50
589,Alba,Spring,Sebes,25
590,Alba,Stalnisoara,Alba Iulia,74
591,Alba,Stana de Mures,Campia Turzii,39
592,Alba,Stanesti,Alba Iulia,102
593,Alba,Stauini,Sebes,15
594,Alba,Stefanca,Alba Iulia,85
595,Alba,Stei-Arieseni,Alba Iulia,130
596,Alba,Stertesti,Alba Iulia,101
597,Alba,Stiuleti,Alba Iulia,110
598,Alba,Straja,Alba Iulia,0
599,Alba,Stremt,Alba Iulia,0
600,Alba,Strungari,Sebes,35
601,Alba,Sturu,Alba Iulia,118
602,Alba,Sub Piatra,Campia Turzii,75
603,Alba,Sucesti,Alba Iulia,117
604,Alba,SUGAG,Sebes,30
605,Alba,Surdesti,Alba Iulia,90
606,Alba,Suseni,Sebes,34
607,Alba,Tamboresti,Alba Iulia,120
608,Alba,Taranesti,Alba Iulia,85
609,Alba,Tarina,Alba Iulia,77
610,Alba,Tarsa,Alba Iulia,110
611,Alba,Tarsa-Plai,Alba Iulia,110
612,Alba,Tartaria,Sebes,30
613,Alba,Tatarlaua,Tarnaveni,30
614,Alba,Tau,Sebes,35
615,Alba,Tau Bistra,Alba Iulia,85
